,training_acc,val_acc,training_loss,val_loss
0,0.06642512232065201,0.06763284653425217,3.0408358573913574,3.0230953693389893
1,0.06763284653425217,0.07246376574039459,3.023421049118042,3.031538724899292
2,0.07246376574039459,0.07729468494653702,3.0102338790893555,3.007450819015503
3,0.06521739065647125,0.08212560415267944,3.0041563510894775,3.0035321712493896
4,0.14130434393882751,0.2415459007024765,2.801342248916626,2.560995101928711
5,0.2741546034812927,0.33816424012184143,2.3649394512176514,2.2782211303710938
6,0.33212560415267944,0.4589371979236603,2.084257125854492,1.9231114387512207
7,0.46014493703842163,0.4444444477558136,1.7382761240005493,1.805559515953064
8,0.5495169162750244,0.5265700221061707,1.4881927967071533,1.6379863023757935
9,0.5845410823822021,0.5748792290687561,1.3281276226043701,1.4160830974578857
10,0.6497584581375122,0.6280193328857422,1.089906930923462,1.2270442247390747
11,0.6376811861991882,0.6618357300758362,1.0817854404449463,1.1559334993362427
12,0.7246376872062683,0.7053139805793762,0.8308193683624268,1.0274020433425903
13,0.7946860194206238,0.6666666865348816,0.6936523914337158,1.040004014968872
14,0.8164251446723938,0.7584540843963623,0.5882242321968079,0.9057212471961975
15,0.8248792290687561,0.7342995405197144,0.5569095015525818,0.8113811016082764
16,0.8466183543205261,0.7777777910232544,0.46846020221710205,0.8291890025138855
17,0.8599033951759338,0.8067632913589478,0.4088525176048279,0.7461695075035095
18,0.8961352705955505,0.8019323945045471,0.33402955532073975,0.7139513492584229
19,0.8719806671142578,0.7584540843963623,0.38060542941093445,0.8127660155296326
20,0.9082125425338745,0.7971014380455017,0.31637147068977356,0.6952399015426636
21,0.9166666865348816,0.7971014380455017,0.2948794960975647,0.6544502973556519
22,0.9021739363670349,0.8164251446723938,0.2979932725429535,0.7509491443634033
23,0.9227052927017212,0.7922705411911011,0.22026681900024414,0.8120366334915161
24,0.9239130616188049,0.782608687877655,0.25136828422546387,0.7750574946403503
25,0.9287439584732056,0.7681159377098083,0.19210898876190186,0.8233252167701721
26,0.9420289993286133,0.8260869383811951,0.1895151138305664,0.6600074768066406
27,0.9480676054954529,0.8067632913589478,0.1632232517004013,0.6764885187149048
28,0.945652186870575,0.8067632913589478,0.16789738833904266,0.7567340135574341
29,0.9649758338928223,0.8212560415267944,0.10887570679187775,0.6236238479614258
30,0.9625604152679443,0.8115941882133484,0.14692500233650208,0.7651464343070984
31,0.945652186870575,0.8212560415267944,0.1871914565563202,0.680360734462738
32,0.9698067903518677,0.8260869383811951,0.10333558171987534,0.7232393026351929
33,0.9625604152679443,0.8115941882133484,0.10426099598407745,0.7894832491874695
34,0.9649758338928223,0.7922705411911011,0.11085039377212524,0.8120977878570557
35,0.95652174949646,0.8309178948402405,0.11903026700019836,0.9427187442779541
36,0.9685990214347839,0.7874395847320557,0.11644745618104935,0.7465168833732605
37,0.9698067903518677,0.8502415418624878,0.11035190522670746,0.7615761756896973
38,0.9601449370384216,0.8067632913589478,0.11672764271497726,0.7786515355110168
39,0.9649758338928223,0.8405796885490417,0.11872444301843643,0.636177122592926
40,0.9746376872062683,0.8212560415267944,0.06601284444332123,0.8718566298484802
41,0.967391312122345,0.8309178948402405,0.10039439797401428,0.7880374789237976
42,0.9746376872062683,0.8164251446723938,0.07310763001441956,0.8465557098388672
43,0.966183602809906,0.7922705411911011,0.10273922979831696,0.9884358048439026
44,0.9649758338928223,0.8357487916946411,0.1021985337138176,0.6984841823577881
45,0.967391312122345,0.8454106450080872,0.08743030577898026,0.7411096692085266
46,0.966183602809906,0.8357487916946411,0.09359946846961975,0.7458222508430481
47,0.9734299778938293,0.8309178948402405,0.10164252668619156,0.669588029384613
48,0.9806763529777527,0.8454106450080872,0.068169504404068,0.886328935623169
49,0.967391312122345,0.8212560415267944,0.10850037634372711,0.7885651588439941
